name: 159db444-98ee-43ef-9b7f-4bad677ea8c2 num_items: 20002
token, class_id, token_value, token_tf, token_df
язык_коммуна, @default_class, 0.00013423395284917206, 316.0, 316.0
отдать, @default_class, 0.00011256960715400055, 265.0, 220.0
сформировать, @default_class, 0.00013848186063114554, 326.0, 269.0
наступление, @default_class, 0.00020262529142200947, 477.0, 213.0
дочь, @default_class, 0.0004744915058836341, 1117.0, 692.0
обнаружить, @default_class, 0.0003300625830888748, 777.0, 547.0
др, @default_class, 0.00023788293765392154, 560.0, 433.0
желание, @default_class, 0.00010067546099890023, 237.0, 210.0
найти, @default_class, 0.0004247909819241613, 1000.0, 716.0
совместно, @default_class, 0.00021876735263504088, 515.0, 404.0
1986_год, @default_class, 0.0001537743373773992, 362.0, 314.0
дело, @default_class, 0.0007047282415442169, 1659.0, 967.0
привести, @default_class, 0.00032284113694913685, 760.0, 588.0
сообщение, @default_class, 0.00020942195260431617, 493.0, 339.0
12, @default_class, 0.0004685444291681051, 1103.0, 879.0
количество, @default_class, 0.00040397621341980994, 951.0, 665.0
1975_год, @default_class, 0.0001575974456500262, 371.0, 263.0
35, @default_class, 0.00011426876881159842, 269.0, 251.0
скорее, @default_class, 0.00010577295324765146, 249.0, 211.0
русский, @default_class, 0.00107684510294348, 2535.0, 1284.0
зависимость, @default_class, 0.00017288992239627987, 407.0, 306.0
войско, @default_class, 0.0008279175963252783, 1949.0, 739.0
сайт, @default_class, 0.0001575974456500262, 371.0, 224.0
сюжет, @default_class, 0.00016269493789877743, 383.0, 238.0
император, @default_class, 0.0002884330751840025, 679.0, 265.0
мировой_война, @default_class, 0.00022216567595023662, 523.0, 401.0
происходить, @default_class, 0.0005615736590698361, 1322.0, 1033.0
скончаться, @default_class, 0.00017756262968759984, 418.0, 366.0
выступить, @default_class, 0.00028758347616530955, 677.0, 494.0
1965_год, @default_class, 0.00013423395284917206, 316.0, 268.0
длинный, @default_class, 0.00014910163008607924, 351.0, 283.0
черта, @default_class, 0.0001091712765628472, 257.0, 211.0
украина_находиться, @default_class, 0.0002778132911771536, 654.0, 654.0
ранний, @default_class, 0.0003508773515932262, 826.0, 660.0
территория, @default_class, 0.0013419146416708827, 3159.0, 1807.0
xx_век, @default_class, 0.00010662253043847159, 251.0, 229.0
достаточно, @default_class, 0.00022131609148345888, 521.0, 390.0
профессиональный, @default_class, 0.00023958210658747703, 564.0, 421.0
сборник, @default_class, 0.00012743729166686535, 300.0, 210.0
помимо, @default_class, 0.00016142056847456843, 380.0, 330.0
наградить_орден, @default_class, 0.00016396932187490165, 386.0, 260.0
структура, @default_class, 0.00021494422981049865, 506.0, 370.0
павел, @default_class, 0.00015844703011680394, 373.0, 212.0
религиозный, @default_class, 0.00017034118354786187, 401.0, 231.0
юрий, @default_class, 0.00015929661458358169, 375.0, 236.0
право, @default_class, 0.0006584260263480246, 1550.0, 859.0
факт, @default_class, 0.00014485372230410576, 341.0, 279.0
завершить, @default_class, 0.00014910163008607924, 351.0, 286.0
тысяча, @default_class, 0.00039802913670428097, 937.0, 561.0
развиваться, @default_class, 0.0001270125067094341, 299.0, 228.0
занять, @default_class, 0.00032836341415531933, 773.0, 539.0
1980_год, @default_class, 0.00016354452236555517, 385.0, 317.0
мировой, @default_class, 0.00020942195260431617, 493.0, 377.0
особый, @default_class, 0.00026549436734057963, 625.0, 459.0
неделя, @default_class, 0.0001928551064338535, 454.0, 344.0
ф, @default_class, 0.00019455426081549376, 458.0, 305.0
показывать, @default_class, 0.00015080079901963472, 355.0, 301.0
перевод, @default_class, 0.0002077227836707607, 489.0, 317.0
записать, @default_class, 0.00021876735263504088, 515.0, 361.0
составить, @default_class, 0.0003759399987757206, 885.0, 650.0
1952_год, @default_class, 0.0001308356149820611, 308.0, 273.0
международный, @default_class, 0.00048893439816311, 1151.0, 709.0
снятой, @default_class, 0.0001253133377758786, 295.0, 253.0
поставить, @default_class, 0.00026464476832188666, 623.0, 477.0
начать, @default_class, 0.0010573046747595072, 2489.0, 1753.0
1981_год, @default_class, 0.00013338436838239431, 314.0, 257.0
серьёзный, @default_class, 0.00011511835327837616, 271.0, 232.0
средний, @default_class, 0.0002705918450374156, 637.0, 500.0
роман, @default_class, 0.00041459599742665887, 976.0, 438.0
действовать, @default_class, 0.0002982032601721585, 702.0, 534.0
определить, @default_class, 0.00016099578351713717, 379.0, 317.0
руководить, @default_class, 0.0001537743373773992, 362.0, 307.0
система, @default_class, 0.0011121027637273073, 2618.0, 1191.0
положение, @default_class, 0.00035809879773296416, 843.0, 575.0
тренер, @default_class, 0.0002332102449145168, 549.0, 298.0
округа, @default_class, 0.0003411071375012398, 803.0, 438.0
большой_количество, @default_class, 0.00012446375330910087, 293.0, 262.0
2016_год, @default_class, 0.00022981192159932107, 541.0, 401.0
отмечать, @default_class, 0.00018393449136056006, 433.0, 303.0
хотя, @default_class, 0.0006078758742660284, 1431.0, 996.0
житель, @default_class, 0.0005216433200985193, 1228.0, 753.0
считаться, @default_class, 0.00040482578333467245, 953.0, 741.0
ситуация, @default_class, 0.00019243030692450702, 453.0, 350.0
детство, @default_class, 9.770192264113575e-05, 230.0, 206.0
15, @default_class, 0.00035937316715717316, 846.0, 750.0
давление, @default_class, 0.0001750138762872666, 412.0, 221.0
нью-йорк, @default_class, 0.00018775761418510228, 442.0, 283.0
муниципальный_образование, @default_class, 0.0001159679377451539, 273.0, 220.0
восток, @default_class, 0.000288857874693349, 680.0, 560.0
офицер, @default_class, 0.00020559882977977395, 484.0, 298.0
америка, @default_class, 0.00010279941488988698, 242.0, 206.0
вместо, @default_class, 0.000288857874693349, 680.0, 544.0
звание, @default_class, 0.00015037599951028824, 354.0, 272.0
1967_год, @default_class, 0.00012318938388489187, 290.0, 245.0
житомирский_область, @default_class, 0.00045749987475574017, 1077.0, 1001.0
среда, @default_class, 0.00015292475291062146, 360.0, 252.0
метр, @default_class, 0.0011125275632366538, 2619.0, 1401.0
шесть, @default_class, 0.00038740935269743204, 912.0, 774.0
простой, @default_class, 0.00018648323020897806, 439.0, 357.0
тема, @default_class, 0.0002264135837322101, 533.0, 374.0
код_—, @default_class, 0.00019158072245772928, 451.0, 447.0
парк, @default_class, 0.00019030635303352028, 448.0, 219.0
река, @default_class, 0.0010594286723062396, 2494.0, 1343.0
период, @default_class, 0.0009336905786767602, 2198.0, 1366.0
учитель, @default_class, 0.00014145539898891002, 333.0, 241.0
взрослый, @default_class, 0.0001011002532322891, 238.0, 210.0
отказаться, @default_class, 0.0002506266755517572, 590.0, 467.0
библиотека, @default_class, 0.0002544497838243842, 599.0, 299.0
осуществлять, @default_class, 0.00010832169937202707, 255.0, 213.0
инициатива, @default_class, 0.00012743729166686535, 300.0, 247.0
иван, @default_class, 0.00032199156703427434, 758.0, 452.0
сильный, @default_class, 0.0002412812755210325, 568.0, 451.0
1966_год, @default_class, 0.00012573812273330986, 296.0, 253.0
успешно, @default_class, 0.00011936626106034964, 281.0, 244.0
хотеть, @default_class, 0.00028333556838333607, 667.0, 468.0
